Alimento,Palatabildiade Café (0010),Palatabildiade Almoço (0010),Palatabildiade Jantar (0010),Preço,Alfa0tocoferol (Vitami0 E) (mg), Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g), Cinzas (g), Cobre (mg), Colesterol (mg), Cálcio (mg), Energia (kJ/kcal), Equivalente de folato (mcg), Ferro (mg), Fibra alimentar (g), Fósforo (mg), Lipídios (g), Magnésio (mg), Manganês (mg), Niaci0 (mg), Potássio (mg), Proteí0 (g), Riboflavi0 (mg), Sal de adição (g), Selênio (mcg), Sódio (mg), Tiami0 (mg), Umidade (g), Vitami0 A (RAE) (mcg), Vitami0 A (RE) (mcg), Vitami0 B12 (mcg), Vitami0 B6 (mg), Vitami0 C (mg), Vitami0 D (mcg), Zinco (mg), Ácidos graxos monoinsaturados (g), Ácidos graxos poliinsaturados (g), Ácidos graxos saturados (g), Ácidos graxos 0ans (g), Álcool (g)
Abacate. polpa. in 0tura,5,4,5,3.5,0.07,0,6.71,21.6,1.75,0.46,0,26.5,280,153,0.65,14.9,68.6,23,62.9,0.54,0,644,4.26,0.13,0,0.74,0,0,319,11.5,23,0,0,27.1,0,0.86,11.8,3.85,6.29,0,0
Abacaxi. cozido. caramelado,4,2,4,3.5,0.03,20,26,26.6,0.31,0.08,0,19.6,108,3.39,0.72,0.67,8.85,0.2,15.4,1.3,0,109,0.48,0.02,0,0.24,4.2,0.08,52.4,0,0,0,0,13.9,0,0.12,0.02,0.06,0.01,0,0
Abacaxi. polpa. in 0tura,8,6,6,2,0.04,0,7.87,8.71,0.27,0.09,0,13.8,37,8.47,0.35,0.84,7.88,0.25,12.5,1.12,0,103,0.51,0.01,0,0.3,2.13,0.12,65.3,0.75,1.5,0,0,24.8,0,0.12,0.02,0.08,0.02,0,0
Abóbora. moranga. refogada (com óleo. cebola e alho). com sal,0,8,8,2.5,1.51,0.00,4.44,5.98,0.37,0.04,0.00,19.2,30,8.45,0.11,1.55,11.7,0.80,7.50,0.02,0,183,0.39,0,0.32,1.07,130,0.05,92.5,47.7,95.3,0,0.05,6.73,0.00,0.08,0.19,0.45,0.12,0.00,0.00
Abóbora. pescoço. sem casca. sem semente. cozida. dre0da. sem óleo. com sal,2,8,7,2,0.69,0,2.08,3.33,0.48,0.05,0,4.58,12,3.88,0.11,1.25,15.5,0.06,2.42,0.04,0,71.7,0.36,0,0,0.54,64.2,0,45.8,131,262,0,0.02,0.74,0,0.07,0.01,0.01,0.01,0,0
Abobrinha. italia0. com casca. refogada (com óleo. cebola e alho). com sal,2,8,8,2.5,0,0.00,2.81,4.19,0.43,0.02,0.00,20.7,26,0,0.36,1.38,31.8,0.82,12.7,0.14,0,193,1.07,0,0.32,0,130,0.04,93.5,20.8,41.6,0.00,0,7.53,0,0.27,0.18,0.46,0.13,0.00,0.00
Abricó (damasco). in 0tura,6,2,3,12,0,0.00,10.00,13.5,0.20,0.01,0.00,8.00,57,10.1,0.12,3.50,0,1.00,0.22,0.02,0,31.8,0.30,0.06,0.00,0.80,1.76,0.11,85.0,0,0,0,0.05,16.7,0,0.18,0.20,0.17,0.28,0.00,0.00
Açaí. polpa. com xarope de guaraná e glucose,7,0,8,5,10.8,0,19.7,21.5,0.29,0.14,0.00,22.2,118,0,0.27,1.72,10.8,3.66,12.7,3.29,0,75.5,0.72,0,0.00,0.51,15.1,0,73.9,10.4,20.9,0.00,0.07,10.3,0,0.19,1.90,0.30,0.70,0,0.00
Acelga. cozida. dre0da. sem óleo. com sal,2,5,5,1.5,1.02,0.00,2.93,4.07,0.97,0.10,0.00,41.7,22,3.78,0.21,1.14,36.7,0.11,6.37,0.10,0,122,1.47,0,0.32,0.73,128,0.03,93.4,34.6,69.2,0.00,0.10,9.20,0.00,0.24,0.02,0.04,0.02,0.00,0.00
Acelga. crua,2,6,6,1.2,1.00,0.00,3.51,4.63,0.63,0.10,0.00,43.0,23,7.42,0.27,1.12,40.0,0.11,10.4,0.11,0,239,1.44,0,0.00,0.84,1.18,0.04,93.2,162,324,0.00,0.16,22.6,0.00,0.31,0.02,0.04,0.02,0.00,0.00
Acerola. madura. polpa,2,0,2,6,0,0,1.85,2.48,0.12,0.02,0,13.2,10,4.91,0,0.63,7.69,0.14,3.92,0.02,0.25,49.9,0.26,0.02,0,0.21,0.24,0,33,37.3,74.6,0,0,541,0,0.04,0.04,0.04,0.03,0,0
Agrião. cozido. dre0do. com óleo de soja. com sal,2,4,3,2,5.32,0.00,0.66,2.88,1.41,0.16,0.00,138,47,7.41,1.68,2.22,60.5,2.89,16.2,0.24,1.03,136,3.54,0.20,0.32,0.20,136,0.09,89.3,242,484,0.00,0.08,32.0,0.00,0.64,0.60,1.61,0.50,0.00,0.00
Aipo (salsão). refogado (com óleo. cebola e alho). com sal,2,6,5,3,0.33,0.00,5.43,7.05,2.02,0.50,0.00,102,42,53.4,1.14,1.62,47.2,1.32,14.6,0.29,0,439,1.33,0,0.32,0.87,142,0,88.3,637,1274,0.00,0.26,5.92,0.00,0.24,0.28,0.77,0.21,0.00,0.00
Alface. america0. crua,4,8,7,1,0.13,0.00,0.26,1.50,0.28,0.02,0.00,11.7,6,13.3,0.22,1.24,15.7,0.11,4.65,0.10,0,110,0.41,0,0.00,0.20,5.93,0.02,97.7,158,317,0.00,0.03,8.89,0.00,0.18,0,0.06,0.02,0.00,0.00
Alface. crespa. crua,5,9,8,1,0.24,0.00,0.00,1.70,0.70,0.03,0.00,38.0,10,29.6,0.40,1.83,25.8,0.16,11.0,0.20,1.09,267,1.35,0.12,0.00,0.20,3.38,0.11,96.1,164,329,0.00,0,15.6,0.00,0.25,0,0.09,0.02,0.00,0.00
Alface. lisa. crua,4,8,7,1,0.18,0.00,0.10,2.43,0.76,0.03,0.00,27.5,13,37.8,0.61,2.33,26.1,0.12,9.11,0.33,0.75,348,1.69,0.08,0.00,0.20,4.23,0.09,95.0,190,380,0.00,0.07,21.4,0.00,0.35,0,0.07,0.02,0.00,0.00
Algodão. doce,8,6,10,4,0.00,0,99.7,99.7,0.00,0.01,0.00,1.00,402,0.00,0.05,0.00,0.00,0.32,0.00,0.00,0.00,2.00,0.00,0.02,0,0.60,1.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
Alho. cozido. sem óleo. sem sal,2,4,3,5,0.98,0.00,22.6,25.8,1.28,0.15,0.00,13.7,121,1.67,0.81,3.19,150,0.20,21.6,0.24,0,541,5.70,0,0.00,2.24,5.43,0.17,67.1,0.00,0.00,0.00,0.40,21.1,0.00,0.83,0.00,0.10,0.04,0.00,0.00
Alho. cru,0,0,0,6,0.98,0.00,22.6,25.8,1.28,0.15,0.00,13.7,121,2.38,0.81,3.19,150,0.20,21.6,0.24,0,541,5.70,0,0.00,2.24,5.43,0.19,67.1,0,0,0.00,0.45,24.8,0.00,0.83,0,0.10,0.04,0.00,0.00
Alho0poró. cozido. dre0do. sem óleo. sem sal,1,4,3,4,0.50,0.00,6.62,7.62,0.57,0.06,0.00,30.0,34,24.0,1.10,1.00,17.0,0.20,14.0,0.25,0.20,87.0,0.81,0.02,0.00,0.50,10.00,0.03,90.8,41.0,0,0.00,0.11,4.20,0.00,0.06,0.00,0.11,0.03,0,0.00
Almôndega de soja. assada. com molho de tomate. com sal,2,7,7,10,0.21,0,7.78,9.74,1.44,0.03,5.1,20.8,77,3.74,1.53,1.96,87.5,1.06,7.65,0.06,0.12,66,8.25,0.02,0.23,1.05,145,0.03,29.5,18.6,35.3,0.01,0.02,3.27,0.03,0.48,0.31,0.68,0.22,0,0
Almôndega de soja. assada. com sal,1,6,6,8,0.05,0,10.2,12.5,1.69,0.02,7.28,27.2,94,1.8,2.09,2.25,116,0.38,7.48,0.07,0.17,28.4,11.4,0.02,0.23,1.42,211,0.01,24,12,21.2,0.02,0.02,0.3,0.04,0.63,0.18,0.3,0.14,0,0
Almôndega. carne bovi0. grelhada. caseira. com sal,4,8,7,12,0.14,0.23,3.96,4.28,0.84,0.07,50.6,5.21,122,14.1,1.59,0.32,127,5.04,14.4,0.11,1.22,186,15.1,0.01,0,2.13,131,0.03,24.7,0.76,1.45,1.69,0.01,0.18,0,3.35,1.74,1.36,1.6,0.06,0
Almôndega. carne. boi. indus0ializada. frita. com sal,4,9,8,15,0.15,0,7.14,7.14,1.84,0.09,18.2,13.4,135,0,0.96,0,122,7.89,24.1,0.2,3.3,268,9.08,0.04,0,0,515,0.07,24,7.82,0,0.56,0,0,0.04,1.3,2.5,2.75,2.1,0.11,0
Ameixa. com casca. in 0tura,6,3,5,5,0.02,0,5.12,6.22,0.27,0.03,0,2.57,24,2.68,0.05,1.09,6.26,0,2.46,0.01,0,60.3,0.35,0,0,0,0,0.03,38.1,6.84,13.7,0,0.01,3.43,0,0.02,0,0,0,0,0
Ameixa. em calda. enlatada. dre0da,5,0,3,6,0.13,0,23.2,23.4,0.26,0.01,0,6.58,94,3,1.08,0.26,10.5,0,4.98,0.05,0,110,0.2,0.12,0,0,1.35,0,26.1,9.96,19.9,0,0.19,2.14,0,0.07,0,0,0,0,0
Ameixa. seca,4,1,2,7,0.43,0.00,56.8,63.9,2.64,0.28,0.00,43.0,253,4.00,0.93,7.10,69.0,0.38,41.0,0.30,1.88,732,2.18,0.19,0.00,0.30,2.00,0.05,30.9,39.0,0,0.00,0.21,0.60,0.00,0.44,0.05,0.06,0.09,0.00,0.00
Amêndoa. crua. sem sal,8,2,4,5,25.6,0.00,9.04,21.5,2.97,1.03,0.00,269,632,44.0,3.71,12.5,481,49.9,270,2.18,3.62,733,21.2,1.14,0.00,4.10,1.00,0.21,4.41,0,0,0.00,0.14,0.00,0.00,3.12,31.6,12.3,3.80,0,0.00
Amêndoa. torrada. com sal,9,2,4,12,23.9,0.00,10.7,21.8,1.98,0.93,0.00,235,616,54.3,3.04,11.1,490,52.0,220,1.94,0,636,20.6,0.16,0,1.98,277,0.29,3.59,0.08,0.17,0.00,0,0,0.00,2.56,30.6,15.4,4.55,0.13,0.00
Amêndoa. torrada. caramelizada,10,2,6,15,5.38,7.5,9.79,12.3,0.48,0.21,0,56.4,168,12.2,0.85,2.49,111,11.7,51.8,0.59,0,156,4.66,0.04,0,0.44,1.61,0.06,0.87,0.02,0.04,0,0,0,0,0.59,7.99,4.01,1.19,0.03,0
Amendoim. grão. cru,5,2,2,3,7.84,0.00,14.5,20.7,2.06,1.08,0,0,589,242,3.13,6.22,407,46.3,170,1.36,10.2,580,25.4,0.03,0.00,0,0,0.10,5.57,0.00,0,0.00,0.76,0,0.00,2.92,17.2,16.2,8.70,0,0
Amendoim. japonês. caseiro,7,0,4,5,2.16,0.45,42.1,47.2,2.59,0.35,2.19,36.0,455,155,3.10,5.11,171,23.2,81.1,1.06,3.50,307,16.6,0,8.20,2.47,562,0.17,10.4,8.94,9.06,0.00,0.09,0.00,0.00,1.25,12.2,6.03,4.64,0.07,0.00
Amendoim. ovinhos. assado. caseiro,7,0,4,6,1.44,0.46,48.7,51.2,1.35,0.18,12.7,36.9,476,26.2,0.65,2.54,92.7,27.3,45.0,0.50,2.00,180,7.62,0,0.00,0.03,310,0.02,12.5,0,0,0.00,0.06,0,0.34,0.59,13.8,5.32,7.87,0.00,0.00
Amendoim. torrado. com sal,8,3,5,4,5.14,0.00,7.87,16.9,2.50,0.68,0,39.4,626,97.5,1.33,8.99,260,51.8,159,1.70,7.47,495,27.5,0,0,0,375,0.08,1.31,0.00,0.00,0.00,0.21,0,0.00,2.12,29.1,14.2,9.74,0,0
Amora preta. in 0tura,10,3,8,5,1.17,0.00,6.25,6.74,0.28,0.12,0.00,21.8,36,18.8,0.47,0.49,16.5,0.49,15.0,0.49,0.49,121,1.39,0.02,0.00,0,0.75,0.02,91.1,11.0,0,0.00,0.02,15.8,0.00,0.40,0.05,0.28,0.01,0.00,0.00
Apresuntado. fatiado. cozido,8,2,6,4,0.01,0,0.66,0.66,0.62,0.01,5.1,4.21,21,1.05,0.16,0,42,0.91,2.85,0.01,0.13,50.4,2.71,0.01,0,0,175,0.12,15.1,0,0,0.06,0,0,0.07,0.31,0.35,0.15,0.26,0,0
Arroz basmati (jasmim). cozido. com óleo de soja. cebola e alho. com sal,3,5,5,2,0.18,0.47,26.8,27.3,1.10,0.10,0.00,10.4,131,91.8,1.15,0.50,44.2,1.37,12.2,0.01,1.39,47.2,2.68,0.01,0.00,7.15,412,0.16,67.6,0.00,0.00,0.00,0.10,0.41,0.00,0.48,0.34,0.73,0.24,0.01,0.00
Arroz doce. com açúcar e canela,7,2,5,2.5,0.04,9.75,28.7,29.6,0.44,0.10,3.71,42.3,137,2.84,0.45,0.85,37.8,1.22,20.2,0.86,0.44,68.7,2.35,0.07,0.00,2.47,21.3,0.01,66.4,14.7,14.9,0.10,0.00,0.01,0.00,0.45,0.31,0.07,0.70,0.00,0.00
Arroz. creme. cozido. s/ tempero,0,6,6,0.42,0.06,0.00,2.01,21.6,0.00,0,0.05,0.17,76,0.00,0.27,0.00,30.0,0.28,40.0,0.49,0.01,0.32,0.14,0,0.00,0.00,13.2,0,21.9,0.00,0.00,0,0.00,5.81,0.03,0.01,0.05,0,0.03,0,0.00
Arroz. creme. pó. cru. Brasil,0,6,6,0.42,0.24,0,81.2,82.2,0.53,0.04,0.00,6.98,366,29.6,0.62,1.06,150,1.09,49.8,1.22,0,112,7.43,0,0,19.4,1.02,0.21,8.71,0.00,0.00,0.00,0.05,0,0.00,1.84,0.27,0.36,0.36,0,0.00
Arroz. farelo. cru,0,6,6,2.3,4.55,0.00,11.2,35.5,26.0,0.74,0.00,57.7,324,63.8,18.8,24.3,1697,19.3,790,14.4,34.4,1503,14.2,0.29,0.00,0,5.06,2.79,4.98,0.00,0.00,0.00,4.12,0.00,0.00,6.11,6.99,6.90,3.86,0,0.00
Arroz. farinha. crua (média de diferentes marcas),0,10,10,1.34,0.06,0.00,81.8,82.6,0.81,0.02,0.00,4.10,360,4.10,16.0,0.78,94.5,0.76,27.4,1.00,0,63.6,6.24,0,0.00,0,9.07,1.73,9.62,0.00,0.00,0.00,1.76,173,0.00,5.17,0.20,0.30,0.30,0,0.00
Arroz. integral. cozido. c/ óleo. cebola e alho. c/ sal. Brasil,0,10,10,1.3,0.34,0.00,20.9,23.0,0.83,0.02,0.00,2.85,116,4.49,0.12,2.14,42.5,2.03,22.3,0.24,0,42.8,2.46,0,0.47,0.79,188,0.07,71.7,0.00,0.00,0.00,0.08,0.45,0.00,0.27,0.61,0.97,0.43,0.01,0.00
Arroz. integral. cozido. c/ óleo. cebola e alho. s/ sal,0,10,10,1.3,0.34,0.00,21.0,23.0,0.83,0.02,0.00,2.85,116,4.52,0.12,2.14,42.7,2.03,22.4,0.24,0,42.9,2.46,0,0.00,0.80,0.55,0.07,71.7,0.00,0.00,0.00,0.08,0.45,0.00,0.27,0.61,0.97,0.43,0.01,0.00
Arroz. integral. cozido. s/ sal. s/ óleo,0,10,10,1.3,0.19,0.00,21.4,23.5,0.34,0.01,0.00,2.02,108,4.02,0.10,2.13,41.0,0.87,22.8,0.24,0,29.1,2.44,0,0.00,0.81,0.48,0.07,72.8,0.00,0.00,0.00,0.07,0.00,0.00,0.27,0.35,0.26,0.26,0.00,0.00
Arroz. polido. cozido. c/ óleo. cebola e alho. c/ sal. Brasil,0,10,10,0.73,0.18,0.00,27.9,29.1,0.80,0.15,0.00,5.83,138,2.69,0.33,1.27,22.3,1.59,23.6,0.99,0,31.7,2.40,0,0.47,1.64,189,0,66.1,0.00,0.00,0.00,0.01,0.45,0.00,0.51,0.33,0.77,0.33,0.01,0.00
Arroz. polido. cozido. c/ óleo. cebola e alho. s/ sal,0,10,10,0.73,0.18,0.00,28.0,29.3,0.33,0.15,0.00,5.74,139,2.70,0.33,1.28,22.4,1.60,23.7,1.00,0,31.8,2.41,0,0.00,1.64,1.60,0,66.4,0.00,0.00,0.00,0.01,0.45,0.00,0.51,0.33,0.77,0.33,0.01,0.00
Arroz. polido. cozido. s/ sal. s/ óleo (média diferentes cultivares),0,10,10,0.73,0.03,0.00,28.8,30.0,0.30,0.15,0.00,5.17,131,2.11,0.33,1.20,19.7,0.41,24.1,1.04,0,17.4,2.38,0,0.00,1.70,1.58,0,66.9,0.00,0.00,0.00,0,0,0.00,0.52,0.05,0.05,0.15,0,0.00
Aspargo. cozido. dre0do. s/ sal,0,5,5,11.3,0.75,0,1.06,2.06,0.32,0.09,0,11.5,12,74.5,0.46,1,27,0.11,7,0.08,0.54,112,1.2,0.07,0,0,7,0.08,46.3,25,0,0,0.04,3.85,0,0.3,0,0.05,0.02,0,0
Aspargo. cozido. s/ óleo. c/ sal,0,5,5,11.3,1.2,0,1.68,3.28,0.77,0.14,0,18.4,19,118,0.73,1.6,43.1,0.18,11.2,0.12,0.86,178,1.91,0.11,0.26,0,113,0.13,73.9,0,0,0,0.06,6.14,0,0.48,0,0.08,0.04,0,0
Aspargo. em conserva. dre0do,0,5,5,"7,745",1.22,0,0.84,2.44,0.77,0.10,0.00,16.0,21,96.0,1.83,1.60,43.0,0.65,10.00,0.17,0.95,172,2.14,0.10,0,1.70,287,0.06,94.0,41.0,0,0.00,0.11,18.4,0.00,0.40,0.02,0.28,0.15,0.00,0.00
Aspargo. in 0tura,0,5,5,11.3,0.79,0,1.25,2.72,0.41,0.13,0,16.8,14,36.4,1.5,1.47,36.4,0.08,9.8,0.11,0.68,141,1.54,0.1,0,0,1.4,0.1,65.3,26.6,0,0,0.06,3.92,0,0.38,0,0.04,0.03,0,0
Atemóia. in 0tura,6,2,2,6.38,0,0,13.9,15.2,0.4,0.1,0,13.7,62,0,0.1,1.28,14,0.18,14.9,0.1,0.95,180,0.58,0.04,0,0,0.47,0.06,43.6,0,0,0,0.04,6.09,0,0.11,0,0.06,0.06,0,0
Aveia. flocos. finos,7,0,0,1,0,0.00,56.9,68.3,2.50,0.46,0.00,49.8,387,57.7,4.62,11.3,159,8.40,123,1.97,4.65,349,15.3,0.03,0.00,0,4.81,0.58,5.50,0.00,0.00,0.00,0,1.40,0.00,2.74,3.12,2.98,1.52,0,0.00
Avelã. crua. s/ sal,5,4,4,1,4.58,0,2.46,5.28,0.74,0.53,0,36.9,201,26.4,1.31,2.82,93,18.7,51.9,1.67,0.62,226,4.51,0.04,0,1.23,0,0.1,0.76,0,0,0,0.19,1.14,0,0.75,14,2.54,1.35,0,0
Avocado. polpa. in 0tura,6,4,4,3.6,7.66,0,6.77,31.6,5.85,0.7,0,44.4,594,299,2.04,24.8,192,54.2,107,0,6.43,1794,7.4,0.48,0,1.48,25.9,0.25,270,25.9,0,0,0.95,37,0,2.37,36.3,6.72,7.87,0,0
Azeite. dendê. Brasil,0,9,9,6.5,15.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,900,0.00,0.01,0.00,0.00,100.0,0.00,0,5.86,0.00,0.00,0,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0,0.00,0,0.00,40.1,16.6,43.1,0.14,0.00
Azeite. oliva. Brasil,0,9,9,22.9,18.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,900,0.00,0.01,0.00,0.00,100.0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.5,9.50,14.9,0,0.00
Azeito0. preta. conserva. dre0da,0,9,9,4.79,3.14,0.00,0.99,5.54,4.48,0.25,0,58.8,201,0.00,5.45,4.56,16.0,20.3,4.76,0.06,0,78.6,1.16,0,0,0,1566,0,68.5,0,0,0.00,0.04,0,0.00,0.29,11.0,3.00,3.50,0,0
Azeito0. verde. conserva. dre0da,0,9,9,14.9,3.54,0.00,0.26,4.10,4.48,0.14,0,45.6,140,2.88,0.18,3.85,5.36,14.2,3.94,0.03,0,19.8,0.95,0,0,0,1347,0,76.3,0,0,0.00,0,0,0.00,0.08,8.30,1.00,2.30,0,0
Babaçu. mesocarpo. farinha. crua. Brasil,4,4,4,4.2,0,0.00,61.3,79.2,3.40,0.22,0.00,61.0,288,0,18.3,17.9,25.6,0.20,39.3,0.38,2.58,362,1.41,0,0.00,0,12.5,0,15.8,0,0,0.00,0,0,0,0.34,0,0,0,0,0.00
Bacuri do Pará. in 0tura,6,5,5,1,0,0.00,12.9,17.4,0.47,0.43,0.00,12.3,82,14.1,0.52,4.51,0,1.80,13.4,0.05,0,114,1.22,0.08,0.00,0,78.0,0.15,79.1,0,0,0,0.07,23.2,0,0.12,0.36,0.30,0.50,0.00,0.00
Bacuri. polpa. in 0tura,6,5,5,0.5,0.00,0.00,13.1,18.3,0.48,0.40,0.00,12.0,81,0,0.63,5.20,30.0,1.46,23.0,0.04,0.17,146,1.22,0.00,0.00,0,29.0,0.00,78.5,0.00,0.00,0,0.07,5.49,0,0.59,0,0,0,0.00,0.00
Bala gelati0. goma,8,8,8,5,0,0,3.75,3.87,0.13,0,0,14.7,16,0,0,0.12,0,0.03,0,0,0,0,0.23,0,0,0,6.25,0,0.75,0,0,0,0,0,0,0,0.01,0,0,0,0
Bala. caramelo,8,8,8,3,0.02,0,3.85,3.85,0.09,0,0.35,6.9,19,0.2,0.01,0,5.7,0.41,0.85,0,0.01,10.7,0.23,0.01,0,0.09,12.3,0.01,0.43,0.6,0,0,0,0.02,0,0.02,0.08,0.17,0.12,0,0
Bala. coco. caseira,8,8,8,2,0,4.2,4.11,4.12,0.02,0,0,1.96,17,0.09,0.09,0.01,0.74,0.15,1.27,0.09,0,8.57,0.02,0,0,0.01,0.89,0,0.67,0,0,0,0,0,0,0.01,0.01,0,0.13,0,0
Bala. diet (média de diferentes sabores),8,8,8,3,0,0,4.7,4.82,0,0,0,0,19,0,0,0.12,0,0.01,0,0,0,0,0,0,0,0.03,0.35,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
Bala. dura,8,8,8,3,0,0,4.9,4.9,0.03,0,0,0.15,19,0,0.02,0,0.15,0.01,0.15,0,0,0.25,0,0,0,0,1.9,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0
Bala. frutas,8,8,8,2,0,0,4.9,4.9,0.03,0,0,0.15,19,0,0.02,0,0.15,0.01,0.15,0,0,0.25,0,0,0,0.03,1.9,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0
Ba00. da terra. à milanesa (farinha de rosca e ovo). frita em imersão (c/ óleo de soja). s/ açúcar,10,10,7,1.79,0.3,0,19.3,20.9,0.69,0.11,10.1,5.42,168,6.92,0.68,1.56,34.2,8.91,22.9,0.19,0.02,251,2,0.02,0,2.89,23.6,0.01,37.5,7.88,11.8,0.02,0.09,2.85,0.05,0.26,2.09,5.13,1.44,0.04,0
Ba00. da terra. assada. s/ adição de ingredientes,8,8,5,1.79,0.07,0,30.3,31.8,0.74,0.05,0,2.94,131,16.3,0.28,1.44,24.1,0.23,27.9,0.79,0,278,1.35,0.02,0,0.03,0,0.02,45.9,95.9,191,0,0.13,11.9,0,0.15,0,0,0.08,0,0
Ba00. da terra. frita. c/ manteiga,10,10,7,1.79,0.1,0,30.6,32,0.75,0.05,15.4,3.22,188,0.23,0.28,1.45,24.8,6.42,28.3,0.8,0,281,1.39,0.02,0,0.1,0.28,0.02,39.4,148,234,0.01,0.12,10.5,0,0.15,1.58,0.11,3.78,0.2,0
Ba00. da terra. frita. c/ óleo de soja,10,10,7,1.79,0.24,0,30.6,32,0.75,0.07,0,2.96,197,13.8,0.28,1.45,24.3,7.43,28.2,0.8,0,281,1.37,0.02,0,0.03,0,0.02,38.4,71.7,170,0,0.12,10.5,0,0.15,1.68,4.32,1.17,0.04,0
Ba00. da terra. in 0tura,8,8,5,1.79,0.06,0,25.7,26.9,0.63,0.04,0,2.62,111,18.4,0.23,1.22,20.4,0.19,23.7,0.67,0,262,1.15,0.02,0,0.24,0,0.02,51.1,95.6,191,0,0.11,12.6,0,0.13,0,0,0.06,0,0
Ba00. Figo. in 0tura,8,8,5,0.55,0.03,0,15,16.7,0.51,0.04,0,3.81,66,14.3,0.12,1.68,9.49,0.09,18.1,0.13,0,231,0.68,0,0,0.08,0,0.05,42,5.81,11.6,0,0.02,10.5,0,0.07,0,0,0.03,0,0
Ba00. in 0tura (média de 5 tipos 0 0nica (caturra ou d'água). da Terra. Maçã. Ouro e Prata),8,8,5,1.3,0.06,0.00,25.3,27.3,0.75,0.08,0.00,4.06,112,23.6,0.31,2.00,25.4,0.22,28.4,0.43,0,317,1.34,0.01,0.00,0.08,0.00,0.01,70.4,34.1,68.3,0.00,0.14,12.4,0.00,0.17,0.00,0.01,0.07,0.00,0.00
Ba00. maçã. in 0tura,8,8,5,1.4,0.04,0,15.5,17.1,0.45,0.08,0,2.43,70,14.9,0.15,1.55,21.6,0.18,17.8,0.45,0,199,0.97,0,0,0.09,0,0,46.3,2.09,4.17,0,0.11,7.89,0,0.09,0,0,0.06,0,0
Ba00. 0nica. à milanesa (farinha de 0igo. ovo e farinha de rosca). frita em imersão. s/ açúcar,9,9,5,0.77,0.35,0,32.5,34.1,0.8,0.09,11.6,6.3,234,7.91,0.76,1.63,39.9,10.2,29.6,0.83,0.02,273,2.38,0.03,0,3.22,27,0.03,32.5,82,159,0.03,0.11,9.52,0.05,0.29,2.38,5.86,1.66,0.05,0
Ba00. 0nica. in 0tura,8,8,5,0.77,0.03,0,10.1,10.9,0.39,0.05,0,1.58,45,9.61,0.16,0.85,12.3,0.1,12.8,0.06,0,173,0.66,0.01,0,0.07,0,0,37.9,3.42,6.83,0,0.06,2.7,0,0.08,0,0,0.04,0,0
Ba00. prata. in 0tura,8,8,5,0.89,0.03,0,9.59,10.4,0.3,0.02,0,2.47,42,8.95,0.15,0.78,8.88,0.11,11.7,0.17,0,143,0.44,0.01,0,0.04,0,0,28.8,6.48,13,0,0.04,8.64,0,0.06,0,0.02,0.04,0,0
Barra de cereal. diet,7,4,4,2,0.46,0,19.9,20.8,0.27,0.05,0,125,121,5.1,0.61,0.93,47.7,3.75,14.4,0.34,0.31,59.7,1.67,0.03,0,1.71,93.6,0.06,3.5,0,0,0.03,0.03,0,0,0.4,1.59,0,1.5,0.43,0
Barra. cereal. salgada. caseira,7,4,4,1.2,8.00,0,36.4,46.7,2.63,0.31,0.00,147,489,56.9,3.90,10.3,282,29.3,168,1.07,3.16,514,14.8,0.26,0,3.04,218,0.39,6.58,0,0,0.00,0.17,1.63,0.00,2.64,17.7,7.56,2.81,0.00,0.00
Batata baroa (mandioquinha. batata salsa). cozida. dre0da. s/ óleo. c/ sal,0,8,8,0.929,0.11,0.00,17.1,18.9,1.09,0.15,0.00,11.9,77,6.92,0.42,1.75,29.4,0.17,7.56,0.22,1.97,257,0.85,0.00,0.32,0.32,129,0.06,79.0,5.33,10.7,0.00,0.00,17.0,0.00,0.38,0.04,0.03,0.04,0.00,0.00
Batata baroa (mandioquinha. batata salsa). s/ casca. cozida. salsa. c/ azeite de oliva. c/ pimenta0do0reino. c/ sal,0,10,10,0.929,0.80,0.00,16.2,17.8,1.52,0.14,0.00,11.3,118,6.53,0.43,1.65,27.7,5.16,7.13,0.21,1.86,242,0.80,0.00,0.47,0.31,321,0.06,74.7,5.02,10.0,0.00,0.00,16.1,0.00,0.36,3.70,0.59,0.78,0.00,0.00
Batata baroa (mandioquinha. batata salsa). s/ casca. cozida. salsa. c/ azeite de oliva. c/ pimenta0do0reino. s/ sal,0,9,9,0.929,0.11,0.00,17.0,18.8,0.77,0.15,0.00,11.7,76,6.88,0.42,1.74,29.2,0.17,7.50,0.22,1.96,255,0.84,0.00,0.00,0.32,2.08,0.06,79.5,5.29,10.6,0.00,0.00,16.9,0.00,0.38,0.04,0.03,0.04,0.00,0.00
